Name/id,Position,Salary,Projection,Ratio
Lions  (23487369),DST,2000,5.2,2.5
Raiders  (23487368),DST,2100,5.2,2.38
Patrick Mahomes (23485906),QB,7700,21.3,2.73
Trey Lance (23485915),QB,6000,19,3.17
Lamar Jackson (23485908),QB,7300,23.3,3.15
Joe Burrow (23485913),QB,6400,19.1,2.97
Matt Ryan (23485922),QB,5500,16.9,2.91
Saquon Barkley (23486028),RB,6100,16,2.62
Christian McCaffrey (23486004),RB,8500,22.9,2.59
Joe Mixon (23486012),RB,7100,18.6,2.54
Najee Harris (23486022),RB,6400,16.8,2.5
Austin Ekeler (23486006),RB,8200,20.6,2.44
Antonio Gibson (23486034),RB,5800,14.1,2.41
Derrick Henry (23486002),RB,8600,19.6,2.21
David Montgomery (23486030),RB,6000,12.8,2
Raheem Mostert (23486102),RB,4800,6.9,1.25
James Conner (23486014),RB,7000,15.3,2.14
Evan Engram (23487032),TE,3500,8,2.29
Travis Kelce (23486998),TE,6600,15.2,2.27
T.J. Hockenson (23487006),TE,4900,10.3,2.04
David Njoku (23487018),TE,3900,8.2,2.05
Michael Pittman Jr. (23486418),WR,5500,16.2,2.91
Jahan Dotson (23486554),WR,3400,9.1,2.65
Rashod Bateman (23486426),WR,5300,13.4,2.45
Ja'Marr Chase (23486378),WR,7100,17.8,2.39
Christian Kirk (23486432),WR,5100,12.1,2.35
DJ Moore (23486402),WR,6000,14.5,2.33
Tee Higgins (23486398),WR,6100,14.4,2.3
Marquise Brown (23486394),WR,6200,14.2,2.26
Drake London (23486444),WR,5000,11.2,2.2
Parris Campbell (23486564),WR,3300,7.1,2.12
Tyler Boyd (23486458),WR,4800,10.3,2.08
Amari Cooper (23486404),WR,5900,12.1,2.03
Keenan Allen (23486380),WR,7000,14.8,2
Darnell Mooney (23486408),WR,5700,13.3,2.28
JuJu Smith-Schuster (23486430),WR,5200,12.5,2.31
Brandin Cooks (23486392),WR,6300,14.2,2.22
George Pickens (23486502),WR,4100,8.7,1.95
Steven Sims Jr. (23486620),WR,3000,0,0
Garrett Wilson (23486468),WR,4700,9.1,1.91
Ray-Ray McCloud III (23486600),WR,3000,2.1,0.67
Brandon Aiyuk (23486428),WR,5200,11.8,2.12
Davante Adams (23486372),WR,8100,17.7,2.1
